Active,SourceSystem,RunFor,DB,CommandType,VersionFrom,VersionTo,ExportFileName,ScriptName
1,ORACLE,Server,ALL,SQL,10.0.0.0,19.0.0.0,Collation,\Oracle\Collation.sql
1,ORACLE,Server,ALL,SQL,10.0.0.0,19.0.0.0,ComponentsInstalled,\Oracle\ComponentsInstalled.sql
1,ORACLE,Server,ALL,SQL,10.0.0.0,19.0.0.0,Cores,\Oracle\Cores.sql
1,ORACLE,Server,ALL,SQL,10.0.0.0,19.0.0.0,FeaturesUsed,\Oracle\FeaturesUsed.sql
1,ORACLE,Server,ALL,SQL,10.0.0.0,19.0.0.0,InMemory,\Oracle\InMemory.sql
1,ORACLE,Server,ALL,SQL,10.0.0.0,19.0.0.0,MemoryUsgae,\Oracle\MemoryUsgae.sql
1,ORACLE,Server,ALL,SQL,10.0.0.0,19.0.0.0,ResourceUtilization,\Oracle\ResourceUtilization.sql
1,ORACLE,Server,ALL,SQL,10.0.0.0,19.0.0.0,Version,\Oracle\Version.sql
1,ORACLE,Server,ALL,SQL,10.0.0.0,19.0.0.0,DBName,\Oracle\DBName.sql
1,ORACLE,Server,ALL,SQL,10.0.0.0,19.0.0.0,TablePartitions,\Oracle\TablePartitions.sql
1,ORACLE,Server,ALL,SQL,10.0.0.0,19.0.0.0,TotalDBSize,\Oracle\TotalDBSize.sql
1,ORACLE,Server,ALL,SQL,10.0.0.0,19.0.0.0,TotalUsedDBSize,\Oracle\TotalUsedDBSize.sql
1,ORACLE,Server,ALL,SQL,10.0.0.0,19.0.0.0,Indexes,\Oracle\Indexes.sql
1,ORACLE,Server,ALL,SQL,10.0.0.0,19.0.0.0,Packages,\Oracle\Packages.sql
1,ORACLE,Server,ALL,SQL,10.0.0.0,19.0.0.0,Roles,\Oracle\Roles.sql
1,ORACLE,Server,ALL,SQL,10.0.0.0,19.0.0.0,Tables,\Oracle\Tables.sql
1,ORACLE,Server,ALL,SQL,10.0.0.0,12.1.99.99,Users,\Oracle\Users_v1.sql
1,ORACLE,Server,ALL,SQL,12.2.0.0,19.0.0.0,Users,\Oracle\Users_v2.sql
1,ORACLE,Server,ALL,SQL,10.0.0.0,19.0.0.0,Views,\Oracle\Views.sql
1,ORACLE,Server,ALL,SQL,10.0.0.0,19.0.0.0,Audit,\Oracle\Audit.sql
1,ORACLE,Server,ALL,SQL,10.0.0.0,19.0.0.0,BitmapIndexes,\Oracle\BitmapIndexes.sql
1,ORACLE,Server,ALL,SQL,10.0.0.0,19.0.0.0,DataEncryption,\Oracle\DataEncryption.sql
1,ORACLE,Server,ALL,SQL,10.0.0.0,19.0.0.0,DBMail,\Oracle\DBMail.sql
