Active,SourceSystem,RunFor,DB,CommandType,VersionFrom,VersionTo,ExportFileName,ScriptName
1,APS,DB,ALL,SQL,1.0.0.0,99.0.0.0,ShowSpaceUsedTotal,\APS\ShowSpaceUsedTotal_V1.sql
1,APS,Server,None,SQL,1.0.0.0,99.0.0.0,Version,\APS\Version_V1.sql
1,APS,Server,None,SQL,1.0.0.0,99.0.0.0,sp_configure,\APS\sp_configure_V1.sql
1,APS,Server,ALL,SQL,1.0.0.0,99.0.0.0,Distributions,\APS\Distributions_V1.sql
1,APS,Server,ALL,SQL,1.0.0.0,99.0.0.0,sys.databases,\APS\sys.databases_V1.sql
1,APS,DB,ALL,SQL,1.0.0.0,99.0.0.0,sys.database_credentials,\APS\sys.database_credentials_V1.sql
1,APS,DB,ALL,SQL,1.0.0.0,99.0.0.0,sys.database_principals,\APS\sys.database_principals_V1.sql
1,APS,DB,ALL,SQL,1.0.0.0,99.0.0.0,sys.database_role_members,\APS\sys.database_role_members_V1.sql
1,APS,DB,ALL,SQL,1.0.0.0,99.0.0.0,sys.database_scoped_credentials,\APS\sys.database_scoped_credentials_V1.sql
1,APS,Server,ALL,SQL,1.0.0.0,99.0.0.0,sys.dm_pdw_exec_requests,\APS\sys.dm_pdw_exec_requests_V1.sql
1,APS,Server,ALL,SQL,1.0.0.0,99.0.0.0,sys.dm_pdw_nodes,\APS\sys.dm_pdw_nodes_V1.sql
1,APS,Server,ALL,SQL,1.0.0.0,99.0.0.0,sys.dm_pdw_nodes_os_sys_info,\APS\sys.dm_pdw_nodes_os_sys_info_V1.sql
1,APS,Server,ALL,SQL,1.0.0.0,99.0.0.0,sys.dm_pdw_nodes_os_sys_memory,\APS\sys.dm_pdw_nodes_os_sys_memory_V1.sql
1,APS,Server,ALL,SQL,1.0.0.0,99.0.0.0,sys.dm_pdw_sql_requests,\APS\sys.dm_pdw_sql_requests_V1.sql
1,APS,Server,ALL,SQL,1.0.0.0,99.0.0.0,sys.dm_pdw_sys_info,\APS\sys.dm_pdw_sys_info_V1.sql
1,APS,Server,ALL,SQL,1.0.0.0,99.0.0.0,sys.pdw_distributions,\APS\sys.pdw_distributions_V1.sql
1,APS,DB,ALL,SQL,1.0.0.0,99.0.0.0,sys.schemas,\APS\sys.schemas_V1.sql
1,APS,DB,ALL,SQL,1.0.0.0,99.0.0.0,ObjectCount,\APS\ObjectCount_V1.sql
1,APS,DB,ALL,SQL,1.0.0.0,99.0.0.0,TableMetadata,\APS\TableMetadata_V1.sql
1,APS,DB,ALL,SQL,1.0.0.0,99.0.0.0,TablesToScript,\APS\TablesToScript_V2.sql
1,APS,DB,ALL,SQL,1.0.0.0,99.0.0.0,ViewsToScript,\APS\ViewsToScript_V1.sql
1,APS,DB,ALL,SQL,1.0.0.0,99.0.0.0,SPsToScript,\APS\SPsToScript_V2.sql
